"https://www.fahrrad.de/cube-acid-hybrid-one-500-trapez-M770030.html?cgid=38448&vgid=G1064867","text/html;charset=UTF-8",200,"OK","Indexable","","Cube Acid Hybrid One 500 Trapez black/green online kaufen | fahrrad.de",70,638,"Cube Acid Hybrid One 500 Trapez black/green - bei fahrrad.de günstig bestellen! | Top Cube Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",174,1164,"",0,"Cube Acid Hybrid One 500 Trapez black/green",43,"Beschreibung",12,"index, follow","","","",3383,6.121525,0.184,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Mountainbikes","E-Bikes Hardtail","Cube Acid Hybrid One 500 Trapez black/green",2099.0,2099.0,,,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
"https://www.fahrrad.de/haibike-sduro-hardnine-4.0-M141032.html?cgid=38448&vgid=G861802","text/html;charset=UTF-8",200,"OK","Indexable","","HAIBIKE SDURO HardNine 4.0 grau/schwarz/grün online kaufen | fahrrad.de",71,669,"HAIBIKE SDURO HardNine 4.0 grau/schwarz/grün - bei fahrrad.de günstig bestellen! | Top HAIBIKE Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",178,1197,"",0,"HAIBIKE SDURO HardNine 4.0 grau/schwarz/grün",44,"Beschreibung",12,"index, follow","","","",3615,4.7612453,1.032,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Mountainbikes","E-Bikes Hardtail","HAIBIKE SDURO HardNine 4.0 grau/schwarz/grün",1999.0,2499.0,0.2,10,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
"https://www.fahrrad.de/cube-reaction-hybrid-pro-500-allroad-M770636.html?cgid=38448&vgid=G1065749","text/html;charset=UTF-8",200,"OK","Indexable","","Cube Reaction Hybrid Pro 500 Allroad iridium/black online kaufen | fahrrad.de",77,677,"Cube Reaction Hybrid Pro 500 Allroad iridium/black - bei fahrrad.de günstig bestellen! | Top Cube Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",181,1192,"",0,"Cube Reaction Hybrid Pro 500 Allroad iridium/black",50,"Beschreibung",12,"index, follow","","","",3708,6.503644,1.084,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Mountainbikes","E-Bikes Hardtail","Cube Reaction Hybrid Pro 500 Allroad iridium/black",2499.0,2499.0,,,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
"https://www.fahrrad.de/electra-loft-go-8i-M776642.html?cgid=38448&vgid=G1076507","text/html;charset=UTF-8",200,"OK","Indexable","","Electra Loft Go! 8i creme online kaufen | fahrrad.de",52,452,"Electra Loft Go! 8i creme - bei fahrrad.de günstig bestellen! | Top Electra Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",159,1038,"",0,"Electra Loft Go! 8i creme",25,"Beschreibung",12,"index, follow","","","",3128,5.8383546,0.65,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Bikes City","","Electra Loft Go! 8i creme",2599.0,2599.0,,,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
"https://www.fahrrad.de/electra-loft-go-8i-M776642.html?cgid=38448&vgid=G1076504","text/html;charset=UTF-8",200,"OK","Indexable","","Electra Loft Go! 8i black online kaufen | fahrrad.de",52,443,"Electra Loft Go! 8i black - bei fahrrad.de günstig bestellen! | Top Electra Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",159,1032,"",0,"Electra Loft Go! 8i black",25,"Beschreibung",12,"index, follow","","","",3128,5.838313,0.603,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Bikes City","","Electra Loft Go! 8i black",2599.0,2599.0,,,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
"https://www.fahrrad.de/trek-powerfly-5-M152037.html?cgid=38448&vgid=G874272","text/html;charset=UTF-8",200,"OK","Indexable","","Trek Powerfly 5 Damen gravel online kaufen | fahrrad.de",55,496,"Trek Powerfly 5 Damen gravel - bei fahrrad.de günstig bestellen! | Top Trek Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",159,1055,"",0,"Trek Powerfly 5 Damen gravel",28,"Beschreibung",12,"index, follow","","","",3425,5.289904,0.923,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Mountainbikes","E-Bikes Hardtail","Trek Powerfly 5 Damen gravel",2558.99,3199.0,0.2,,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
"https://www.fahrrad.de/ortler-bricktown-zehus-herren-M150614.html?cgid=38448&vgid=G1020551","text/html;charset=UTF-8",200,"OK","Indexable","","Ortler Bricktown Zehus classic green online kaufen | fahrrad.de",63,552,"Ortler Bricktown Zehus classic green - bei fahrrad.de günstig bestellen! | Top Ortler Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",169,1102,"",0,"Ortler Bricktown Zehus classic green",36,"Beschreibung",12,"index, follow","","","",3179,4.9997706,0.899,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Bikes City","","Ortler Bricktown Zehus classic green",1499.99,1999.99,0.25,,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
"https://www.fahrrad.de/cube-town-sport-hybrid-pro-400-easy-entry-M770906.html?cgid=38448&vgid=G1066172","text/html;charset=UTF-8",200,"OK","Indexable","","Cube Town Sport Hybrid Pro 400 Easy Entry iridium/red online kaufen | fahrrad.de",80,720,"Cube Town Sport Hybrid Pro 400 Easy Entry iridium/red - bei fahrrad.de günstig bestellen! | Top Cube Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",184,1220,"",0,"Cube Town Sport Hybrid Pro 400 Easy Entry iridium/red",53,"Beschreibung",12,"index, follow","","","",3533,6.294078,1.61,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Bikes City","","Cube Town Sport Hybrid Pro 400 Easy Entry iridium/red",2299.0,2299.0,,,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
"https://www.fahrrad.de/focus-paralane2-9.6-M124133.html?dwvar_M124133_color=889278","text/html;charset=UTF-8",200,"OK","Indexable","","FOCUS Paralane² 9.6 online kaufen | fahrrad.de",46,422,"FOCUS Paralane² 9.6 - bei fahrrad.de günstig bestellen! | Top FOCUS Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",151,1022,"",0,"FOCUS Paralane² 9.6 black/anthracite",36,"Beschreibung",12,"index, follow","","","",3097,4.7705894,1.266,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Bikes Rennrad &amp; Gravel","","FOCUS Paralane² 9.6 black/anthracite",4999.0,4999.0,,,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
"https://www.fahrrad.de/trek-powerfly-lt-4-plus-M152043.html?cgid=38448&vgid=G874290","text/html;charset=UTF-8",200,"OK","Indexable","","Trek Powerfly LT 4 Plus matte trek black online kaufen | fahrrad.de",67,589,"Trek Powerfly LT 4 Plus matte trek black - bei fahrrad.de günstig bestellen! | Top Trek Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",171,1119,"",0,"Trek Powerfly LT 4 Plus matte trek black",40,"Beschreibung",12,"index, follow","","","",3490,5.2802005,0.807,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Mountainbikes","E-Bikes Fully","Trek Powerfly LT 4 Plus matte trek black",3349.49,3999.0,0.16,,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
"https://www.fahrrad.de/vermont-e-madoc-24-kinder-M718604.html?cgid=38448&vgid=G975470","text/html;charset=UTF-8",200,"OK","Indexable","","Vermont E-Madoc 24 Kinder matt schwarz online kaufen | fahrrad.de",66,609,"Vermont E-Madoc 24 Kinder matt schwarz - bei fahrrad.de günstig bestellen! | Top Vermont Angebote? Bewertungen? Infos? Bilder? » Versand HEUTE bei Bestellung Mo-Fr bis 16h!",173,1157,"",0,"Vermont E-Madoc 24 Kinder matt schwarz",39,"Beschreibung",12,"index, follow","","","",3255,5.479903,0.807,"","","","2019-11-13","12:00:10","2019-11-13T12:00:10","E-Mountainbikes","E-Bikes Hardtail","Vermont E-Madoc 24&quot; Kinder matt schwarz",999.0,1499.0,0.33,1,2019,2019,4,11,"November",46,317,13,3,"Mittwoch"
